Country,Date,Confirmed Cases,New Cases,Confirmed Deaths,New Deaths,Income,Region,Population,year,cpm,dpm,new_cases_per_million,new_deaths_per_million,cases_income,deaths_income,new_cases_income,new_deaths_income,cpm_income,dpm_income,new_cpm_income,new_dpm_income,cases_region,deaths_region,new_cases_region,new_deaths_region,cpm_region,dpm_region,new_cpm_region,new_dpm_region
Equatorial Guinea,17/11/2024,17130,,183,,Upper middle income,African Region,1634466,,10480.4872,111.9631733,,,222912998,2541495,1387,11,88462.32575,1008.584338,0.55042661,0.004365316,9045325,174423,0,0,7779.867385,150.0209013,0,0
Eritrea,17/11/2024,10189,,103,,Low income,African Region,3620312,,2814.398317,28.45058658,,,1944457,43529,0,0,2707.195641,60.60381847,0,0,9045325,174423,0,0,7779.867385,150.0209013,0,0
Estonia,17/11/2024,612879,133,2998,0,High income,European Region,1328701,,461261.7888,2256.339086,100.0977647,0,455558910,3457623,40253,546,365744.6293,2775.946238,32.31704669,0.438355091,280454924,2277200,37900,165,301302.3726,2446.474297,40.71727378,0.177265176
Eswatini,17/11/2024,75356,,1427,,Lower middle income,African Region,1192271,,63203.7515,1196.875543,,,78216924,927992,71,1,23026.94485,273.1994499,0.020902293,0.000294398,9045325,174423,0,0,7779.867385,150.0209013,0,0
Ethiopia,17/11/2024,501244,,7574,,Low income,African Region,120283026,,4167.204773,62.96815313,,,1944457,43529,0,0,2707.195641,60.60381847,0,0,9045325,174423,0,0,7779.867385,150.0209013,0,0
Falkland Islands,17/11/2024,1923,,0,,,,3764,,510892.6674,0,,,18263911,105690,0,0,,,,,1310931,4286,0,0,,,,
Faroe Islands,17/11/2024,34658,,28,,High income,,52889,,655296.9427,529.4106525,,,455558910,3457623,40253,546,365744.6293,2775.946238,32.31704669,0.438355091,1310931,4286,0,0,,,,
Fiji,17/11/2024,69047,,885,,Upper middle income,Western Pacific Region,924610,,74676.8908,957.1603162,,,222912998,2541495,1387,11,88462.32575,1008.584338,0.55042661,0.004365316,208587244,421594,1540,9,108395.926,219.088527,0.800287318,0.004677004
Finland,17/11/2024,1499712,0,11466,0,High income,European Region,5535992,,270902.1256,2071.173513,0,0,455558910,3457623,40253,546,365744.6293,2775.946238,32.31704669,0.438355091,280454924,2277200,37900,165,301302.3726,2446.474297,40.71727378,0.177265176
France,17/11/2024,39027970,653,168091,0,High income,European Region,64531444,,604789.9687,2604.792169,10.11909791,0,455558910,3457623,40253,546,365744.6293,2775.946238,32.31704669,0.438355091,280454924,2277200,37900,165,301302.3726,2446.474297,40.71727378,0.177265176
French Guiana,17/11/2024,98041,,413,,,,297449,,329606.0837,1388.473318,,,18263911,105690,0,0,,,,,1310931,4286,0,0,,,,
French Polynesia,17/11/2024,79451,,650,,High income,Western Pacific Region,304032,,261324.4658,2137.932849,,,455558910,3457623,40253,546,365744.6293,2775.946238,32.31704669,0.438355091,208587244,421594,1540,9,108395.926,219.088527,0.800287318,0.004677004
Gabon,17/11/2024,49056,,307,,Upper middle income,African Region,2341179,,20953.5452,131.1305116,,,222912998,2541495,1387,11,88462.32575,1008.584338,0.55042661,0.004365316,9045325,174423,0,0,7779.867385,150.0209013,0,0
Gambia,17/11/2024,12627,,372,,Low income,African Region,2639916,,4783.106735,140.9135745,,,1944457,43529,0,0,2707.195641,60.60381847,0,0,9045325,174423,0,0,7779.867385,150.0209013,0,0
